,src,time,label,ext_roll
0,91,830379,1,2
1,91,830379,1,2
2,91,830379,1,2
3,49670,830379,0,2
4,89819,830379,0,2
5,90064,830379,1,2
6,90064,830379,1,2
7,90064,830379,1,2
8,246,830379,1,2
9,75164,830379,1,2
10,90064,830380,1,2
11,90064,830380,1,2
12,90064,830380,1,2
13,90064,830380,1,2
14,80519,830380,1,2
15,90064,830380,1,2
16,75164,830380,1,2
17,90064,830380,1,2
18,90064,830381,1,2
19,91,830381,1,2
20,246,830381,1,2
21,90064,830381,1,2
22,90064,830381,1,2
23,90064,830381,1,2
24,90064,830381,1,2
25,90064,830381,1,2
26,90064,830381,1,2
27,50430,830381,0,2
28,90064,830381,1,2
29,90064,830381,1,2
30,91,830381,1,2
31,90064,830381,1,2
32,90064,830382,1,2
33,246,830382,1,2
34,90064,830382,1,2
35,90064,830382,1,2
36,90064,830382,1,2
37,90064,830382,1,2
38,91,830382,1,2
39,294,830382,1,2
40,2126,830382,1,2
41,90064,830382,1,2
42,90064,830382,1,2
43,91,830382,1,2
44,91,830383,1,2
45,91,830383,1,2
46,90064,830383,1,2
47,90064,830383,1,2
48,90064,830383,1,2
49,90064,830383,1,2
50,80542,830384,0,2
51,4,830384,1,2
52,49457,830384,1,2
53,2126,830384,1,2
54,90064,830384,1,2
55,90064,830384,1,2
56,90064,830384,1,2
57,91,830384,1,2
58,90064,830385,1,2
59,4,830385,1,2
60,90064,830385,1,2
61,90064,830385,1,2
62,685,830385,0,2
63,1610,830385,1,2
64,5058,830385,0,2
65,1022,830385,1,2
66,75675,830386,1,2
67,90064,830386,1,2
68,90064,830386,1,2
69,91,830386,1,2
70,50430,830386,0,2
71,90064,830386,1,2
72,91,830386,1,2
73,1964,830386,1,2
74,90064,830386,1,2
75,90064,830387,1,2
76,90064,830387,1,2
77,90064,830387,1,2
78,90064,830387,1,2
79,90064,830387,1,2
80,90064,830387,1,2
81,90064,830387,1,2
82,87849,830387,1,2
83,90064,830387,1,2
84,90064,830387,1,2
85,90064,830388,1,2
86,90064,830388,1,2
87,90064,830388,1,2
88,91,830388,1,2
89,90064,830388,1,2
90,90064,830388,1,2
91,90064,830388,1,2
92,87864,830388,0,2
93,4,830388,1,2
94,91,830388,1,2
95,50430,830388,0,2
96,90064,830389,1,2
97,1964,830389,1,2
98,90064,830389,1,2
99,90064,830389,1,2
100,90064,830389,1,2
101,91,830389,1,2
102,4,830389,1,2
103,90064,830389,1,2
104,90064,830389,1,2
105,91,830389,1,2
106,23564,830389,0,2
107,4,830389,1,2
108,75164,830389,1,2
109,75164,830389,1,2
110,90064,830389,1,2
111,4,830390,1,2
112,2126,830390,1,2
113,90064,830390,1,2
114,90064,830390,1,2
115,90064,830390,1,2
116,90064,830390,1,2
117,4,830390,1,2
118,4,830390,1,2
119,4,830390,1,2
120,90064,830390,1,2
121,90064,830390,1,2
122,90064,830391,1,2
123,91,830391,1,2
124,2017,830391,1,2
125,90064,830391,1,2
126,90064,830391,1,2
127,90064,830391,1,2
128,90064,830391,1,2
129,90064,830391,1,2
130,67280,830391,1,2
131,1964,830391,1,2
132,75164,830391,1,2
133,90064,830391,1,2
134,80519,830391,1,2
135,90064,830391,1,2
136,90064,830391,1,2
137,3302,830391,1,2
138,90064,830392,1,2
139,90064,830392,1,2
140,89136,830392,0,2
141,246,830392,1,2
142,91,830392,1,2
143,90064,830392,1,2
144,87853,830392,1,2
145,59038,830392,0,2
146,246,830392,1,2
147,4641,830392,1,2
148,90064,830392,1,2
149,4,830393,1,2
150,90064,830393,1,2
151,90064,830393,1,2
152,90064,830393,1,2
153,40,830393,1,2
154,90064,830393,1,2
155,4,830393,1,2
156,90064,830393,1,2
157,90064,830393,1,2
158,90064,830393,1,2
159,90064,830393,1,2
160,50430,830393,0,2
161,35936,830393,0,2
162,4,830393,1,2
163,933,830394,1,2
164,3770,830394,0,2
165,88819,830394,1,2
166,90064,830394,1,2
167,90064,830395,1,2
168,106,830395,1,2
169,90064,830395,1,2
170,90064,830395,1,2
171,90064,830395,1,2
172,90064,830395,1,2
173,90064,830395,1,2
174,90064,830395,1,2
175,90064,830395,1,2
176,90064,830395,1,2
177,90064,830396,1,2
178,90064,830396,1,2
179,90064,830396,1,2
180,90064,830396,1,2
181,90064,830396,1,2
182,1964,830396,1,2
183,87847,830396,1,2
184,90064,830397,1,2
185,4,830397,1,2
186,80519,830397,1,2
187,90064,830397,1,2
188,90064,830397,1,2
189,90064,830397,1,2
190,90064,830397,1,2
191,87300,830397,0,2
192,90064,830397,1,2
193,90064,830397,1,2
194,90064,830398,1,2
195,90064,830398,1,2
196,90064,830398,1,2
197,91,830398,1,2
198,90064,830398,1,2
199,90064,830398,1,2
200,90064,830398,1,2
201,90064,830398,1,2
202,90064,830398,1,2
203,90064,830398,1,2
204,90064,830398,1,2
205,3145,830398,0,2
206,67280,830398,1,2
207,91,830398,1,2
208,49457,830398,1,2
209,90064,830399,1,2
210,90064,830399,1,2
211,90064,830399,1,2
212,21455,830399,1,2
213,90064,830399,1,2
214,90064,830399,1,2
215,91,830399,1,2
216,3770,830399,0,2
217,90064,830399,1,2
218,90064,830400,1,2
219,90064,830400,1,2
220,90064,830400,1,2
221,90064,830400,1,2
222,90064,830400,1,2
223,90064,830400,1,2
224,90064,830400,1,2
225,49670,830400,0,2
226,90064,830400,1,2
227,87300,830400,0,2
228,90064,830401,1,2
229,90064,830401,1,2
230,90064,830401,1,2
231,90064,830401,1,2
232,90064,830401,1,2
233,402,830401,1,2
234,90064,830401,1,2
235,90064,830401,1,2
236,46125,830401,0,2
237,90064,830401,1,2
238,90064,830401,1,2
239,50430,830402,0,2
240,91,830402,1,2
241,90064,830402,1,2
242,90064,830402,1,2
243,67280,830402,1,2
244,91,830402,1,2
245,90064,830402,1,2
246,90064,830402,1,2
247,90064,830403,1,2
248,90064,830403,1,2
249,90064,830403,1,2
250,3013,830403,1,2
251,89282,830403,1,2
252,91,830403,1,2
253,90064,830403,1,2
254,90064,830404,1,2
255,90064,830404,1,2
256,90064,830404,1,2
257,90064,830404,1,2
258,90064,830404,1,2
259,88819,830404,1,2
260,90064,830404,1,2
261,90064,830404,1,2
262,1964,830404,1,2
263,88819,830404,1,2
264,91,830404,1,2
265,90064,830404,1,2
266,90064,830404,1,2
267,90064,830405,1,2
268,90064,830405,1,2
269,91,830405,1,2
270,90064,830405,1,2
271,90064,830405,1,2
272,90064,830405,1,2
273,1022,830405,1,2
274,88819,830405,1,2
275,40,830405,1,2
276,90064,830405,1,2
277,90064,830406,1,2
278,90064,830406,1,2
279,90064,830406,1,2
280,90064,830406,1,2
281,90064,830406,1,2
282,91,830406,1,2
283,87864,830406,0,2
284,88819,830406,1,2
285,1022,830406,1,2
286,40,830406,1,2
287,76,830406,1,2
288,87300,830406,0,2
289,87300,830406,0,2
290,1964,830406,1,2
291,90064,830407,1,2
292,90064,830407,1,2
293,90064,830407,1,2
294,90064,830407,1,2
295,90064,830407,1,2
296,2089,830407,1,2
297,87783,830407,1,2
298,91,830407,1,2
299,91,830407,1,2
300,90064,830407,1,2
301,90064,830407,1,2
302,91,830407,1,2
303,90064,830408,1,2
304,90064,830408,1,2
305,90064,830408,1,2
306,90064,830408,1,2
307,90064,830408,1,2
308,90064,830408,1,2
309,90064,830408,1,2
310,90064,830408,1,2
311,90064,830408,1,2
312,76832,830408,0,2
313,90064,830408,1,2
314,90064,830408,1,2
315,90064,830408,1,2
316,90064,830408,1,2
317,90064,830408,1,2
318,1610,830408,1,2
319,90064,830408,1,2
320,72703,830408,0,2
321,49457,830408,1,2
322,75164,830408,1,2
323,90064,830409,1,2
324,90064,830409,1,2
325,91,830409,1,2
326,90064,830409,1,2
327,90064,830409,1,2
328,90064,830409,1,2
329,90064,830409,1,2
330,91,830409,1,2
331,87835,830409,1,2
332,89819,830409,0,2
333,2126,830409,1,2
334,90064,830409,1,2
335,90064,830410,1,2
336,4,830410,1,2
337,91,830410,1,2
338,246,830410,1,2
339,90064,830410,1,2
340,3302,830410,1,2
341,88819,830410,1,2
342,90064,830410,1,2
343,90064,830410,1,2
344,91,830410,1,2
345,75895,830410,0,2
346,3302,830410,1,2
347,91,830411,1,2
348,19544,830411,1,2
349,91,830411,1,2
350,88819,830411,1,2
351,2126,830411,1,2
352,90064,830411,1,2
353,90064,830411,1,2
354,90064,830411,1,2
355,90064,830412,1,2
356,91,830412,1,2
357,80519,830412,1,2
358,88819,830412,1,2
359,90064,830413,1,2
360,90064,830413,1,2
361,90064,830413,1,2
362,90064,830413,1,2
363,90064,830413,1,2
364,91,830413,1,2
365,90064,830413,1,2
366,46125,830413,0,2
367,48,830413,1,2
368,90064,830413,1,2
369,89634,830413,0,2
370,90064,830413,1,2
371,90064,830414,1,2
372,90064,830414,1,2
373,21455,830414,1,2
374,90064,830414,1,2
375,90064,830414,1,2
376,90064,830414,1,2
377,88819,830414,1,2
378,90064,830414,1,2
379,90064,830414,1,2
380,91,830414,1,2
381,49457,830414,1,2
382,90064,830414,1,2
383,90064,830415,1,2
384,90064,830415,1,2
385,19544,830415,1,2
386,91,830415,1,2
387,2017,830415,1,2
388,90064,830415,1,2
389,90064,830415,1,2
390,4,830415,1,2
391,75164,830415,1,2
392,3145,830415,0,2
393,46036,830415,0,2
394,90064,830415,1,2
395,90064,830415,1,2
396,90064,830416,1,2
397,90064,830416,1,2
398,89136,830416,0,2
399,75164,830416,1,2
400,90064,830416,1,2
401,90064,830416,1,2
402,90064,830416,1,2
403,90064,830416,1,2
404,75164,830416,1,2
405,69368,830416,0,2
406,90064,830416,1,2
407,90064,830417,1,2
408,90064,830417,1,2
409,90064,830417,1,2
410,90064,830417,1,2
411,90064,830417,1,2
412,90064,830417,1,2
413,90064,830417,1,2
414,90064,830417,1,2
415,90064,830417,1,2
416,1964,830417,1,2
417,90064,830417,1,2
418,685,830417,0,2
419,90064,830417,1,2
420,87864,830417,0,2
421,90064,830418,1,2
422,90064,830418,1,2
423,91,830418,1,2
424,90064,830418,1,2
425,90064,830418,1,2
426,90064,830418,1,2
427,91,830418,1,2
428,10438,830418,0,2
429,88819,830418,1,2
430,2126,830418,1,2
431,87783,830418,1,2
432,90064,830418,1,2
433,2126,830418,1,2
434,90064,830419,1,2
435,90064,830419,1,2
436,90064,830419,1,2
437,90064,830419,1,2
438,87300,830419,0,2
439,933,830419,1,2
440,88819,830419,1,2
441,91,830419,1,2
442,2126,830419,1,2
443,90064,830420,1,2
444,90064,830420,1,2
445,90064,830420,1,2
446,90064,830420,1,2
447,90064,830420,1,2
448,90064,830420,1,2
449,90064,830420,1,2
450,90064,830420,1,2
451,4,830420,1,2
452,75164,830420,1,2
453,32083,830420,1,2
454,6768,830420,0,2
455,2126,830420,1,2
456,90064,830420,1,2
457,90064,830421,1,2
458,90064,830421,1,2
459,91,830421,1,2
460,75895,830421,0,2
461,90064,830421,1,2
462,90064,830421,1,2
463,88190,830421,1,2
464,90064,830421,1,2
465,91,830421,1,2
466,90064,830421,1,2
467,76,830422,1,2
468,40,830422,1,2
469,87300,830422,0,2
470,75164,830422,1,2
471,90064,830422,1,2
472,90064,830422,1,2
473,90064,830422,1,2
474,91,830422,1,2
475,90064,830422,1,2
476,90064,830422,1,2
477,90064,830422,1,2
478,90064,830423,1,2
479,90064,830423,1,2
480,90064,830423,1,2
481,89282,830423,1,2
482,90064,830423,1,2
483,90064,830423,1,2
484,90064,830423,1,2
485,90064,830423,1,2
486,90064,830423,1,2
487,75164,830423,1,2
488,90064,830423,1,2
489,90064,830423,1,2
490,90064,830423,1,2
491,75164,830423,1,2
492,1964,830423,1,2
493,90064,830423,1,2
494,90064,830423,1,2
495,90064,830423,1,2
496,90064,830424,1,2
497,91,830424,1,2
498,90064,830424,1,2
499,90064,830424,1,2
500,90064,830424,1,2
501,90064,830424,1,2
502,90064,830424,1,2
503,90064,830424,1,2
504,90064,830424,1,2
505,4,830424,1,2
506,88190,830424,1,2
507,90064,830424,1,2
508,67280,830424,1,2
509,90064,830425,1,2
510,1964,830425,1,2
511,90064,830425,1,2
512,2089,830425,1,2
513,75164,830425,1,2
514,90064,830425,1,2
515,90064,830425,1,2
516,1964,830425,1,2
517,48,830425,1,2
518,91,830426,1,2
519,88819,830426,1,2
520,91,830426,1,2
521,80542,830426,0,2
522,2126,830426,1,2
523,90064,830426,1,2
524,90064,830427,1,2
525,90064,830427,1,2
526,90064,830427,1,2
527,90064,830427,1,2
528,90064,830427,1,2
529,90064,830427,1,2
530,75164,830427,1,2
531,88819,830427,1,2
532,89136,830427,0,2
533,75164,830427,1,2
534,75675,830427,1,2
535,90064,830427,1,2
536,90064,830428,1,2
537,90064,830428,1,2
538,90064,830428,1,2
539,90064,830428,1,2
540,91,830428,1,2
541,90064,830428,1,2
542,90064,830428,1,2
543,90064,830428,1,2
544,90064,830428,1,2
545,90064,830428,1,2
546,168,830428,0,2
547,90064,830428,1,2
548,90064,830429,1,2
549,90064,830429,1,2
550,90064,830429,1,2
551,90064,830429,1,2
552,90064,830429,1,2
553,90064,830429,1,2
554,50430,830429,0,2
555,91,830429,1,2
556,90064,830429,1,2
557,75895,830429,0,2
558,90064,830430,1,2
559,87853,830430,1,2
560,90064,830430,1,2
561,90064,830430,1,2
562,90064,830430,1,2
563,90064,830430,1,2
564,90064,830430,1,2
565,90064,830430,1,2
566,89136,830430,0,2
567,88819,830430,1,2
568,86282,830430,0,2
569,90064,830430,1,2
570,2089,830431,1,2
571,90064,830431,1,2
